Number_of_prior_offenses,Frequency_of_previous_bail_violations,Potential_sentence_length,Age,Existing_debts_or_liabilities,Bail_amount,Severity_of_current_offense,Types_of_prior_offenses,Gender,Employment_status,Marital_status,Financial_stability,Property_ownership,Family_connections,Community_involvement,Stability_of_residence,Previous_compliance_with_court_orders,History_of_bail_conditions_adherence,Attempt_to_Flee
4,0,2,77,65930,10635,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,Active,Stable,Compliant,Adherent,No
14,0,14,68,6420,16939,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Rents,Weak,Active,Stable,Compliant,Non-Adherent,Yes
6,6,10,56,6349,45909,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,Active,Unstable,Compliant,Adherent,Yes
17,8,9,59,71422,12898,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Rents,Strong,Active,Unstable,Compliant,Adherent,Yes
7,1,19,28,28790,8538,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Weak,Active,Stable,Compliant,Non-Adherent,Yes
7,9,14,64,28464,31580,High,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
13,4,6,50,26341,8120,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
18,2,1,23,98336,37931,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,None,Stable,Compliant,Non-Adherent,Yes
12,0,7,59,26623,35293,High,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,Yes
6,0,15,25,7588,15270,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
9,0,2,30,21591,41572,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,None,Inactive,Stable,Non-Compliant,Adherent,No
9,6,7,76,93666,24918,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
10,1,4,18,49161,13045,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
10,0,14,40,60348,9597,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Non-Adherent,Yes
8,0,3,30,60620,24734,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,No
9,2,15,23,38267,23145,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
11,0,8,31,7696,11522,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
9,1,6,69,56102,42043,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,No
11,9,8,47,63317,8033,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,Yes
4,6,7,56,84643,31483,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,None,Active,Stable,Non-Compliant,Adherent,Yes
0,2,15,65,65436,42955,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
13,9,8,72,43885,6162,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Non-Adherent,Yes
10,3,4,26,78750,47301,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
14,7,17,24,28648,10636,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
0,2,9,79,44799,17669,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,None,Active,Unstable,Non-Compliant,Adherent,No
3,5,10,35,58284,25250,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Weak,Inactive,Stable,Non-Compliant,Non-Adherent,Yes
7,6,5,27,17339,5862,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,Yes
4,2,16,77,59463,21336,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,None,Stable,Compliant,Adherent,No
4,4,8,32,73586,23473,Low,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Rents,Strong,None,Stable,Compliant,Non-Adherent,Yes
8,0,16,77,1844,7377,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
6,5,2,45,4643,32898,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Owns_Property,Strong,None,Stable,Compliant,Adherent,Yes
2,2,14,62,39977,22427,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Owns_Property,None,Active,Stable,Compliant,Adherent,No
7,6,13,46,56046,8439,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,Yes
4,8,12,45,35845,32112,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
16,5,7,59,6872,18592,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
2,2,8,48,49727,36369,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,No
6,0,12,69,50955,13501,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,No
3,3,4,48,21771,35414,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,Weak,None,Stable,Non-Compliant,Adherent,No
3,3,11,58,62661,7510,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,None,None,Unstable,Compliant,Adherent,No
7,0,4,33,82604,16283,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,Active,Unstable,Compliant,Adherent,No
7,1,3,21,66262,48988,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,None,Unstable,Non-Compliant,Adherent,No
3,6,14,58,26312,48437,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Unstable,Non-Compliant,Non-Adherent,Yes
7,1,5,36,62712,18497,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,None,Active,Stable,Compliant,Adherent,No
9,3,10,19,91629,45994,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,None,None,Unstable,Compliant,Adherent,No
10,3,9,68,54938,24796,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,None,Stable,Compliant,Adherent,No
9,2,6,26,96630,4583,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,No_Property,Weak,Active,Unstable,Compliant,Adherent,No
2,0,5,61,32237,31272,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,None,None,Unstable,Compliant,Adherent,No
1,1,19,31,84068,28348,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Weak,Active,Unstable,Non-Compliant,Adherent,No
16,7,9,20,17005,28898,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,Weak,Active,Stable,Non-Compliant,Non-Adherent,Yes
10,1,16,22,61418,40833,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Weak,None,Unstable,Compliant,Non-Adherent,Yes
8,1,11,79,11474,19060,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,Strong,None,Unstable,Compliant,Non-Adherent,Yes
13,5,1,79,36413,11729,High,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
8,3,11,23,54331,35879,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Active,Unstable,Compliant,Adherent,No
11,4,1,21,98665,14976,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Strong,None,Stable,Compliant,Non-Adherent,Yes
7,0,3,75,18579,48395,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,No_Property,Weak,Active,Stable,Compliant,Non-Adherent,Yes
8,0,2,20,58762,12793,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Weak,None,Stable,Compliant,Adherent,No
13,3,8,30,16232,46569,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,No_Property,Strong,None,Stable,Non-Compliant,Adherent,Yes
5,1,17,58,52249,4694,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,Active,Unstable,Compliant,Adherent,No
17,3,8,34,25303,40688,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,None,Stable,Compliant,Adherent,Yes
17,2,14,48,92974,9893,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,None,Stable,Compliant,Adherent,Yes
4,2,8,54,56165,13982,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,Weak,None,Unstable,Compliant,Adherent,No
9,1,16,68,96511,26502,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,No
12,8,13,70,78064,21393,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,None,None,Stable,Compliant,Adherent,Yes
5,1,4,23,36792,40695,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,No
13,5,17,69,80514,43545,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,Yes
5,6,10,36,4255,22644,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
2,2,9,57,61364,19631,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Owns_Property,Strong,Inactive,Unstable,Non-Compliant,Adherent,No
13,6,12,27,92106,1640,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Weak,Active,Stable,Compliant,Non-Adherent,Yes
0,0,13,24,9499,47657,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,No_Property,Strong,Inactive,Unstable,Compliant,Adherent,No
9,2,17,75,86582,14826,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,None,None,Unstable,Non-Compliant,Adherent,Yes
9,8,2,65,18218,10674,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
13,8,7,73,1546,19866,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,Strong,None,Stable,Compliant,Non-Adherent,Yes
8,1,14,52,49839,11805,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,Weak,None,Stable,Compliant,Adherent,No
5,0,8,53,14574,41290,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,None,Active,Stable,Compliant,Adherent,No
7,7,2,71,39939,21423,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,Yes
12,0,12,36,77234,12395,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,None,Stable,Compliant,Non-Adherent,Yes
1,1,6,23,48081,13679,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,No_Property,Strong,Inactive,Unstable,Compliant,Adherent,No
2,8,13,20,26412,42027,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Rents,Strong,Active,Unstable,Non-Compliant,Adherent,Yes
9,9,16,79,49568,29333,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Active,Unstable,Compliant,Adherent,Yes
2,1,12,57,24660,34641,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,Active,Unstable,Non-Compliant,Adherent,No
10,5,9,36,52313,47630,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
1,0,5,34,93578,19707,High,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
7,5,3,34,93074,17362,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
16,3,10,41,13611,8965,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,None,Unstable,Compliant,Adherent,Yes
10,4,10,35,32473,10067,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,None,Unstable,Compliant,Non-Adherent,Yes
7,0,6,77,6667,18458,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,Strong,Active,Stable,Compliant,Adherent,No
3,2,19,50,81538,22119,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,No
10,5,14,51,3281,9295,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,Weak,Inactive,Unstable,Compliant,Adherent,Yes
10,0,12,54,2444,4978,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
5,5,18,49,99587,22061,High,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,No_Property,None,None,Unstable,Compliant,Adherent,Yes
15,9,5,27,48131,39444,High,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,No_Property,Weak,Active,Stable,Compliant,Adherent,Yes
0,3,2,53,47245,34126,Low,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,No_Property,Weak,None,Unstable,Compliant,Adherent,No
1,3,4,31,67791,23942,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,None,Inactive,Stable,Compliant,Non-Adherent,Yes
14,5,6,62,23052,13301,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,Active,Unstable,Non-Compliant,Adherent,Yes
